Size,Number_of_returns,Total_receipts,Income_subject_to_tax,Total_income_tax_before_credits,Total_income_tax_after_credits,Total_income_after_tax,Share_of_number_of_returns,Share_of_receipts,Share_of_income_subject_to_tax,Share_of_income_tax,Share_of_income_after_tax,Average_receipts,Average_income_subject_to_tax,Average_income_tax,Average_income_after_tax
"< $25,000",1418966,188362679,7728506,2564044,2309408,5419098,0.2410,0.0060,0.0060,0.0080,0.0056,132746,5447,1627.528778,3819.047109
"$25,000 - $100,000",922162,58838083,1299976,267198,240092,1059884,0.1566,0.0020,0.0010,0.0010,0.0011,63804,1410,260.3577246,1149.346861
"$100,000 - $250,000",1028766,174906470,1823645,383919,370876,1452769,0.1747,0.0060,0.0010,0.0010,0.0015,170016,1773,360.5056932,1412.147174
"$250,000 - $500,000",770856,285643451,2447501,494973,477027,1970474,0.1309,0.0090,0.0020,0.0020,0.0020,370554,3175,618.827641,2556.215428
"$500,000 - $1,000,000",644265,468815310,2752129,672514,643682,2108447,0.1094,0.0160,0.0020,0.0020,0.0022,727675,4272,999.0950929,3272.639364
"$1,000,000 - $2,500,000",556975,891616631,5392413,1493831,1421486,3970927,0.0946,0.0300,0.0040,0.0050,0.0041,1600820,9682,2552.154046,7129.452848
"$2,500,000 - $5,000,000",240712,845275475,6518845,2039303,1939266,4579579,0.0409,0.0280,0.0050,0.0070,0.0047,3511564,27082,8056.374423,19025.13792
"$5,000,000 - $10,000,000",139200,982149576,8529704,2831638,2643778,5885926,0.0236,0.0330,0.0070,0.0090,0.0061,7055672,61277,18992.65805,42283.95115
"$10,000,000 - $50,000,000",129787,2705788010,33851141,11691247,10989990,22861151,0.0220,0.0900,0.0270,0.0370,0.0237,20847912,260821,84677.12483,176143.6122
"$50,000,000 - $100,000,000",17612,1253504463,20959687,7317826,6648385,14311302,0.0030,0.0420,0.0170,0.0230,0.0148,71173317,1190080,377491.767,812588.1217
"$100,000,000 - $250,000,000",10544,1641605390,35906983,12618634,10755365,25151618,0.0018,0.0540,0.0290,0.0370,0.0261,155690951,3405442,1020045.998,2385396.244
"$250,000,000+",7960,20695230467,1131272145,399474369,254917930,876354215,0.0014,0.6850,0.8990,0.8690,0.9080,2599903325,142119616,32024865.58,110094750.6
Total,5887804,30191736006,1258482675,441849495,293357284,965125391,1.0000,1.0000,1.0000,1.0000,1.0000,5127843,213744,49824.56685,163919.4156
